date,equity,cash,positions_value,daily_return,n_positions
2023-01-03,100000.0,35271.91394805908,64728.08605194092,0.0,10
2023-01-04,45354.95860290527,12561.471370697021,32793.48723220825,-0.5464504139709473,11
2023-01-05,22644.516025543213,8352.575756072998,14291.940269470215,-0.5007267843897296,10
2023-01-06,8352.575756072998,3171.017837524414,5181.557918548584,-0.6311435516373493,10
2023-01-09,3614.6510162353516,1484.6629314422607,2129.988084793091,-0.5672411574828031,10
2023-01-10,1928.2961101531982,890.942328453064,1037.3537817001343,-0.46653325549487956,9
2023-01-11,1642.6091222763062,659.2142562866211,983.3948659896851,-0.14815514400129914,9
2023-01-12,1410.8810501098633,802.6494960784912,608.2315540313721,-0.14107316769635198,6
2023-01-13,1144.2933864593506,610.4882831573486,533.805103302002,-0.18895119728892376,6
2023-01-17,952.132173538208,655.9165592193604,296.21561431884766,-0.16793002143945263,4
2023-01-18,739.5583057403564,515.6430130004883,223.91529273986816,-0.2232608809005037,4
2023-01-19,599.2847595214844,462.6525173187256,136.6322422027588,-0.1896720584842153,3
2023-01-20,462.6525173187256,364.5840034484863,98.06851387023926,-0.22799218573797306,3
2023-01-23,400.3260040283203,316.2215061187744,84.1044979095459,-0.1347156039517839,3
2023-01-24,351.9635066986084,303.86658477783203,48.09692192077637,-0.1208077837638811,2
2023-01-25,332.50563621520996,284.56291007995605,47.942726135253906,-0.05528377264424889,2
2023-01-26,313.201961517334,264.40464210510254,48.797319412231445,-0.058055180410180846,2
2023-01-27,291.5587043762207,244.0600070953369,47.49869728088379,-0.06910319793739685,2
2023-01-30,271.2140693664551,252.07122993469238,19.142839431762695,-0.0697788634137754,1
2023-01-31,252.07122993469238,232.55376625061035,19.51746368408203,-0.07058202945178907,1
2023-02-01,232.55376625061035,211.63171195983887,20.922054290771484,-0.07742836693080243,1
2023-02-02,233.31900024414062,211.63171195983887,21.687288284301758,0.003290568051715073,1
2023-02-03,233.31900024414062,212.24010467529297,21.078895568847656,0.0,1
2023-02-06,212.24010467529297,191.17219161987305,21.067913055419922,-0.09034367345475977,1
2023-02-07,213.32301902770996,191.17219161987305,22.150827407836914,0.00510230785116577,1
2023-02-08,213.32301902770996,213.32301902770996,0.0,0.0,0
2023-02-09,213.32301902770996,213.32301902770996,0.0,0.0,0
2023-02-10,213.32301902770996,192.07928848266602,21.243730545043945,0.0,1
2023-02-13,213.84550094604492,192.07928848266602,21.766212463378906,0.0024492524094040327,1
2023-02-14,213.84550094604492,213.84550094604492,0.0,0.0,0
2023-02-15,213.84550094604492,213.84550094604492,0.0,0.0,0
2023-02-16,213.84550094604492,213.84550094604492,0.0,0.0,0
2023-02-17,213.84550094604492,192.47889137268066,21.366609573364258,0.0,1
2023-02-21,213.11323738098145,192.47889137268066,20.63434600830078,-0.003424264535956887,1
2023-02-22,213.11323738098145,192.37999534606934,20.73324203491211,0.0,1
2023-02-23,216.02033042907715,192.37999534606934,23.640335083007812,0.013641072154043194,1
2023-02-24,216.02033042907715,216.02033042907715,0.0,0.0,0
2023-02-27,216.02033042907715,216.02033042907715,0.0,0.0,0
2023-02-28,216.02033042907715,216.02033042907715,0.0,0.0,0
2023-03-01,216.02033042907715,216.02033042907715,0.0,0.0,0
2023-03-02,216.02033042907715,216.02033042907715,0.0,0.0,0
2023-03-03,216.02033042907715,216.02033042907715,0.0,0.0,0
2023-03-06,216.02033042907715,216.02033042907715,0.0,0.0,0
2023-03-07,216.02033042907715,216.02033042907715,0.0,0.0,0
2023-03-08,216.02033042907715,216.02033042907715,0.0,0.0,0
2023-03-09,216.02033042907715,216.02033042907715,0.0,0.0,0
2023-03-10,216.02033042907715,216.02033042907715,0.0,0.0,0
