symbol,ticker,exchange,article
MDLZ,MDLZ,NASDAQ,Mondelez_International
NWS,NWS,NASDAQ,News_Corp
MRNA,MRNA,NASDAQ,Moderna
NWSA,NWSA,NASDAQ,News_Corp
COHR,COHR,NASDAQ,Coherent_Corp.
DXCM,DXCM,NASDAQ,Dexcom
TWC,TWC,NYSE,Time_Warner_Cable
EXPD,EXPD,NASDAQ,Expeditors_International
ABBV,ABBV,NYSE,AbbVie
PDCO,PDCO,NASDAQ,Patterson_Companies
QCOM,QCOM,NASDAQ,Qualcomm
CMI,CMI,NYSE,Cummins
EBAY,EBAY,NASDAQ,EBay
IT,IT,NYSE,Gartner
JWN,JWN,NYSE,Nordstrom
FISV,FISV,NASDAQ,Fiserv
NDAQ,NDAQ,NASDAQ,"Nasdaq,_Inc."
OI,OI,NYSE,O-I_Glass
KEY,KEY,NYSE,KeyBank
KMB,KMB,NYSE,Kimberly-Clark
STI,STI,NYSE,SunTrust
EQR,EQR,NYSE,Vivmark_Residential
NKTR,NKTR,NASDAQ,Nektar_Therapeutics
ORCL,ORCL,NYSE,Oracle_Corporation
ENDP,ENDP,NASDAQ,Endo_International
ERIE,ERIE,NASDAQ,Erie_Insurance_Group
FLIR,FLIR,NASDAQ,Teledyne_FLIR
HCBK,HCBK,NASDAQ,Hudson_City_Bancorp
PCL,PCL,NYSE,Plum_Creek_Timber
WY,WY,NYSE,Weyerhaeuser
LLL,LLL,NYSE,L3_Technologies
PCAR,PCAR,NASDAQ,Paccar
DLTR,DLTR,NASDAQ,Dollar_Tree
NEM,NEM,NYSE,Newmont
BTU,BTU,NYSE,Peabody_Energy
LEG,LEG,NYSE,Leggett_&_Platt
PCG,PCG,NYSE,Pacific_Gas_and_Electric_Company
ENPH,ENPH,NASDAQ,Enphase_Energy
MCHP,MCHP,NASDAQ,Microchip_Technology
BRCM,BRCM,NASDAQ,Broadcom_Corporation
MAT,MAT,NASDAQ,Mattel
DAL,DAL,NYSE,Delta_Air_Lines
TWX,TWX,NYSE,WarnerMedia
PAYC,PAYC,NYSE,Paycom
KEYS,KEYS,NYSE,Keysight
JPM,JPM,NYSE,JPMorgan_Chase
HOG,HOG,NYSE,Harley-Davidson
GS,GS,NYSE,Goldman_Sachs
AXP,AXP,NYSE,American_Express
GME,GME,NYSE,GameStop
SYF,SYF,NYSE,Synchrony_Financial
MKTX,MKTX,NASDAQ,MarketAxess
OKTA,OKTA,NASDAQ,"Okta,_Inc."
IPGP,IPGP,NASDAQ,IPG_Photonics
INCY,INCY,NASDAQ,Incyte
APO,APO,NYSE,Apollo_Global_Management
CVS,CVS,NYSE,CVS_Health
CI,CI,NYSE,The_Cigna_Group
APTV,APTV,NYSE,Aptiv
DLPH,DLPH,NYSE,Aptiv
TMO,TMO,NYSE,Thermo_Fisher_Scientific
STT,STT,NYSE,State_Street_Corporation
ANDV,ANDV,NYSE,Tesoro_Corporation
PPL,PPL,NYSE,PPL_Corporation
TEAM,TEAM,NASDAQ,Atlassian
PLTR,PLTR,NYSE,Palantir
GIS,GIS,NYSE,General_Mills
LLY,LLY,NYSE,Eli_Lilly_and_Company
PFE,PFE,NYSE,Pfizer
MON,MON,NYSE,Monsanto
MGM,MGM,NYSE,MGM_Resorts_International
FL,FL,NYSE,Foot_Locker
FDS,FDS,NYSE,FactSet
MKC,MKC,NYSE,McCormick_&_Company
POM,POM,NYSE,Pepco_Holdings
MCK,MCK,NYSE,McKesson
MDP,MDP,NYSE,Meredith_Corporation
NBR,NBR,NYSE,Nabors_Industries
BA,BA,NYSE,Boeing
MDT,MDT,NYSE,Medtronic
CL,CL,NYSE,Colgate-Palmolive
MET,MET,NYSE,MetLife
NI,NI,NYSE,NiSource
OXY,OXY,NYSE,Occidental_Petroleum
UAA,UAA,NYSE,Under_Armour
UA,UA,NYSE,Under_Armour
GLW,GLW,NYSE,Corning_Inc.
HFC,HFC,NYSE,HF_Sinclair
IEX,IEX,NYSE,IDEX_Corporation
MCD,MCD,NYSE,McDonald's
EIX,EIX,NYSE,Edison_International
TEL,TEL,NYSE,TE_Connectivity
NWL,NWL,NYSE,Newell_Brands
JCI,JCI,NYSE,Johnson_Controls
TGNA,TGNA,NYSE,Tegna_Inc.
DASH,DASH,NYSE,DoorDash
STLD,STLD,NASDAQ,Steel_Dynamics
TEG,TEG,NYSE,Integrys_Energy_Group
KBH,KBH,NYSE,KB_Home
YUM,YUM,NYSE,Yum!_Brands
TYC,TYC,NYSE,Tyco_International
MCO,MCO,NYSE,Moody's_Corporation
D,D,NYSE,Dominion_Energy
ABT,ABT,NYSE,Abbott_Laboratories
WYN,WYN,NYSE,Travel_+_Leisure_Co.
IQV,IQV,NYSE,IQVIA
PNC,PNC,NYSE,PNC_Financial_Services
SWKS,SWKS,NASDAQ,Skyworks_Solutions
ESRX,ESRX,NASDAQ,Express_Scripts
SPLS,SPLS,NASDAQ,Staples_Inc.
CPRI,CPRI,NYSE,Capri_Holdings
HP,HP,NYSE,Helmerich_&_Payne
CTLT,CTLT,NYSE,Catalent
VTR,VTR,NYSE,Ventas_(company)
WPX,WPX,NYSE,WPX_Energy
FLR,FLR,NYSE,Fluor_Corporation
HAL,HAL,NYSE,Halliburton
GRMN,GRMN,NYSE,Garmin
DELL,DELL,NYSE,Dell
HBI,HBI,NYSE,Hanesbrands
ADM,ADM,NYSE,Archer_Daniels_Midland
MSI,MSI,NYSE,Motorola_Solutions
T,T,NYSE,AT&T
IBM,IBM,NYSE,IBM
HPE,HPE,NYSE,Hewlett_Packard_Enterprise
UNP,UNP,NYSE,Union_Pacific_Corporation
WELL,WELL,NYSE,Welltower
MAC,MAC,NYSE,Macerich
MNK,MNK,NYSE,Mallinckrodt
MMI,MMI,NYSE,Marcus_&_Millichap
MLM,MLM,NYSE,Martin_Marietta_Materials
MAS,MAS,NYSE,Masco
APC,APC,NYSE,Anadarko_Petroleum
NKE,NKE,NYSE,"Nike,_Inc."
DDOG,DDOG,NASDAQ,Datadog
CPRT,CPRT,NASDAQ,Copart
BF-B,BF.B,NYSE,Brown-Forman
A,A,NYSE,Agilent_Technologies
RHT,RHT,NYSE,Red_Hat
ETN,ETN,NYSE,Eaton_Corporation
SHW,SHW,NYSE,Sherwin-Williams
KIM,KIM,NYSE,Kimco_Realty
LIN,LIN,NYSE,LIN_Media
LH,LH,NYSE,Labcorp
ELV,ELV,NYSE,Elevance_Health
MTD,MTD,NYSE,Mettler_Toledo
SVU,SVU,NYSE,SuperValu_(United_States)
ANF,ANF,NYSE,Abercrombie_&_Fitch
CVX,CVX,NYSE,Chevron_Corporation
NCLH,NCLH,NYSE,Norwegian_Cruise_Line_Holdings
DOW,DOW,NYSE,Dow_Inc.
CTVA,CTVA,NYSE,Corteva
LVLT,LVLT,NYSE,Level_3_Communications
JEF,JEF,NYSE,Jefferies_Group
ECHO,ECHO,NASDAQ,EchoStar
SNDK,SNDK,NASDAQ,Sandisk
V,V,NYSE,Visa_Inc.
ON,ON,NASDAQ,Onsemi
NOC,NOC,NYSE,Northrop_Grumman
JNJ,JNJ,NYSE,Johnson_&_Johnson
MS,MS,NYSE,Morgan_Stanley
ACN,ACN,NYSE,Accenture
PEP,PEP,NYSE,PepsiCo
ACT,ACT,NYSE,Actavis
VNO,VNO,NYSE,Vornado_Realty_Trust
TER,TER,NASDAQ,Teradyne
APP,APP,NASDAQ,AppLovin
PPG,PPG,NYSE,PPG_Industries
HONA,HONA,NASDAQ,Honeywell_Aerospace
BBBY,NXH,NASDAQ,Bed_Bath_&_Beyond_(2023–present)
CINF,CINF,NASDAQ,Cincinnati_Financial
CDNS,CDNS,NASDAQ,Cadence_Design_Systems
ABNB,ABNB,NASDAQ,Airbnb
CNX,CNX,NYSE,CNX_Resources
COIN,COIN,NASDAQ,Coinbase
CSGP,CSGP,NASDAQ,CoStar_Group
APOL,APOL,NASDAQ,Apollo_Education_Group
GT,GT,NASDAQ,Goodyear_Tire_and_Rubber_Company
DISCA,DISCA,NASDAQ,"Discovery,_Inc."
DISCK,DISCK,NASDAQ,"Discovery,_Inc."
KDP,KDP,NYSE,Keurig_Dr_Pepper
GHC,GHC,NYSE,Graham_Holdings
XYL,XYL,NYSE,Xylem_Inc.
J,J,NYSE,Jacobs_Solutions
LW,LW,NYSE,Lamb_Weston
ADSK,ADSK,NASDAQ,Autodesk
AMAT,AMAT,NASDAQ,Applied_Materials
KLAC,KLAC,NASDAQ,KLA_Corporation
BAC,BAC,NYSE,Bank_of_America
MTB,MTB,NYSE,M&T_Bank
KO,KO,NYSE,The_Coca-Cola_Company
MJN,MJN,NYSE,Mead_Johnson
MA,MA,NYSE,Mastercard
DE,DE,NYSE,John_Deere
LDOS,LDOS,NYSE,Leidos
GD,GD,NYSE,General_Dynamics
ATO,ATO,NYSE,Atmos_Energy
GRA,GRA,NYSE,Grace_(company)
TAP,TAP,NYSE,Molson_Coors
ES,ES,NYSE,Eversource_Energy
JKHY,JKHY,NASDAQ,Jack_Henry_&_Associates
GILD,GILD,NASDAQ,Gilead_Sciences
LUV,LUV,NYSE,Southwest_Airlines
THC,THC,NYSE,Tenet_Healthcare
AZO,AZO,NYSE,AutoZone
AVB,AVB,NYSE,AvalonBay_Communities
BXP,BXP,NYSE,"BXP,_Inc."
CPT,CPT,NYSE,Camden_Property_Trust
KMX,KMX,NYSE,CarMax
CNC,CNC,NYSE,Centene_Corporation
IVZ,IVZ,NYSE,Invesco
BR,BR,NYSE,Broadridge_Financial_Solutions
BRO,BRO,NYSE,Brown_&_Brown
VAR,VAR,NYSE,Varian_Medical_Systems
BCR,BCR,NYSE,Bard_(company)
CMS,CMS,NYSE,CMS_Energy
LHX,LHX,NYSE,L3Harris
WST,WST,NYSE,West_Pharmaceutical_Services
TTD,TTD,NASDAQ,The_Trade_Desk
LULU,LULU,NASDAQ,Lululemon
CDAY,CDAY,NYSE,Dayforce
DAY,DAY,NYSE,Dayforce
LUMN,LUMN,NYSE,Lumen_Technologies
CRL,CRL,NYSE,Charles_River_Laboratories
CHD,CHD,NYSE,Church_&_Dwight
CFG,CFG,NYSE,Citizens_Financial_Group
AMG,AMG,NYSE,Affiliated_Managers_Group
GAS,GAS,NYSE,Southern_Company_Gas
AET,AET,NYSE,Aetna
AFL,AFL,NYSE,Aflac
FANG,FANG,NASDAQ,Diamondback_Energy
ARE,ARE,NYSE,Alexandria_Real_Estate_Equities
DRE,DRE,NYSE,Duke_Realty
CSCO,CSCO,NASDAQ,Cisco
ADI,ADI,NASDAQ,Analog_Devices
ADP,ADP,NASDAQ,ADP_(company)
DVA,DVA,NYSE,DaVita
CCI,CCI,NYSE,Crown_Castle
CCK,CCK,NYSE,Crown_Holdings
DHI,DHI,NYSE,D._R._Horton
DTE,DTE,NYSE,DTE_Energy
DO,DO,NYSE,Diamond_Offshore_Drilling
DLR,DLR,NYSE,Digital_Realty
DV,DV,NYSE,Covista
HAS,HAS,NASDAQ,Hasbro
EA,EA,NASDAQ,Electronic_Arts
UAL,UAL,NASDAQ,United_Airlines
NVDA,NVDA,NASDAQ,Nvidia
SEDG,SEDG,NASDAQ,SolarEdge
TXN,TXN,NASDAQ,Texas_Instruments
TYL,TYL,NYSE,Tyler_Technologies
TSLA,TSLA,NASDAQ,"Tesla,_Inc."
WMT,WMT,NASDAQ,Walmart
CLF,CLF,NYSE,Cleveland-Cliffs
FIX,FIX,NYSE,Comfort_Systems_USA
IDXX,IDXX,NASDAQ,Idexx_Laboratories
PTC,PTC,NASDAQ,PTC_Inc.
TRIP,TRIP,NASDAQ,Tripadvisor
MXIM,MXIM,NASDAQ,Maxim_Integrated
WFM,WFM,NASDAQ,Whole_Foods_Market
SMCI,SMCI,NASDAQ,Supermicro
LIFE,LIFE,NASDAQ,Life_Technologies
MNST,MNST,NASDAQ,Monster_Beverage
NDSN,NDSN,NASDAQ,Nordson_Corporation
HOOD,HOOD,NASDAQ,Robinhood_Markets
QRVO,QRVO,NASDAQ,Qorvo
CEG,CEG,NYSE,Constellation_Energy
BMY,BMY,NYSE,Bristol_Myers_Squibb
ADT,ADT,NYSE,ADT_Inc.
BKNG,BKNG,NASDAQ,Booking_Holdings
CZR,CZR,NASDAQ,Caesars_Entertainment
WBA,WBA,NASDAQ,Walgreens_Boots_Alliance
NYT,NYT,NYSE,The_New_York_Times_Company
AES,AES,NYSE,AES_Corporation
AIV,AIV,NYSE,Aimco
WM,WM,NYSE,"Waste_Management,_Inc."
WSM,WSM,NYSE,"Williams-Sonoma,_Inc."
ACE,ACE,NYSE,Ticketmaster
ALL,ALL,NYSE,Allstate
NBL,NBL,NYSE,Noble_Energy
ADBE,ADBE,NASDAQ,Adobe_Inc.
DFS,DFS,NYSE,Discover_Financial
EQT,EQT,NYSE,EQT_Corporation
KHC,KHC,NASDAQ,Kraft_Heinz
TECH,TECH,NASDAQ,Bio-Techne
NAVI,NAVI,NASDAQ,Navient
GEN,GEN,NASDAQ,Gen_Digital
SIAL,SIAL,NASDAQ,Sigma-Aldrich
AXON,AXON,NASDAQ,Axon_Enterprise
ADS,ADS,NYSE,Bread_Financial
AMP,AMP,NYSE,Ameriprise_Financial
CMCSA,CMCSA,NASDAQ,Comcast
FSLR,FSLR,NASDAQ,First_Solar
HRB,HRB,NYSE,H&R_Block
HEI,HEI,NYSE,HEICO
FRC,FRC,NYSE,First_Republic_Bank
FBHS,FBHS,NYSE,Fortune_Brands_Innovations
M,M,NYSE,"Macy's,_Inc."
GNRC,GNRC,NYSE,Generac
GPC,GPC,NYSE,Genuine_Parts_Company
MHK,MHK,NYSE,Mohawk_Industries
MOH,MOH,NYSE,Molina_Healthcare
NRG,NRG,NYSE,NRG_Energy
NVR,NVR,NYSE,"NVR,_Inc."
NFX,NFX,NYSE,Newfield_Exploration
NE,NE,NYSE,Noble_Corporation
VICI,VICI,NYSE,Vici_Properties
IR,IR,NYSE,Ingersoll_Rand
GPN,GPN,NYSE,Global_Payments
GL,GL,NYSE,Globe_Life_and_Accident_Insurance_Company
TPR,TPR,NYSE,"Tapestry,_Inc."
FLEX,FLEX,NASDAQ,Flex_Ltd.
MAR,MAR,NASDAQ,Marriott_International
STX,STX,NASDAQ,Seagate_Technology
ANET,ANET,NYSE,Arista_Networks
BIO,BIO,NYSE,Bio-Rad_Laboratories
GEHC,GEHC,NASDAQ,GE_HealthCare
NXPI,NXPI,NASDAQ,NXP_Semiconductors
MU,MU,NASDAQ,Micron_Technology
DISH,DISH,NASDAQ,Dish_Network
WB,WB,NASDAQ,Weibo_Corporation
DWDP,DWDP,NYSE,DuPont
BNY,BNY,NYSE,BNY
VMRK,VMRK,NYSE,Vivmark_Residential
SIVB,SIVB,NASDAQ,SVB_Financial_Group
NFLX,NFLX,NASDAQ,"Netflix,_Inc."
EME,EME,NYSE,Emcor
VRT,VRT,NYSE,Vertiv
LMT,LMT,NYSE,Lockheed_Martin
PANW,PANW,NASDAQ,Palo_Alto_Networks
PRGO,PRGO,NYSE,Perrigo
CAM,CAM,NYSE,Cameron_International
CHK,CHK,NYSE,Expand_Energy
CTAS,CTAS,NASDAQ,Cintas
BBY,BBY,NYSE,Best_Buy
NLSN,NLSN,NYSE,Nielsen_Holdings
CTSH,CTSH,NASDAQ,Cognizant
FERG,FERG,NYSE,Ferguson_Enterprises
CE,CE,NYSE,Celanese
HOT,HOT,NYSE,Starwood_Hotels_and_Resorts
ARNC,ARNC,NYSE,Howmet_Aerospace
ORLY,ORLY,NASDAQ,O'Reilly_Auto_Parts
ODFL,ODFL,NASDAQ,Old_Dominion_Freight_Line
BHI,BHI,NYSE,Baker_Hughes
BKR,BKR,NYSE,Baker_Hughes
TFC,TFC,NYSE,Truist
TDG,TDG,NYSE,TransDigm_Group
LSI,LSI,NYSE,Life_Storage
URI,URI,NYSE,United_Rentals
UHS,UHS,NYSE,Universal_Health_Services
PNR,PNR,NYSE,Pentair
PCP,PCP,NYSE,Precision_Castparts_Corp.
WBD,WBD,NASDAQ,Warner_Bros._Discovery
X,X,NYSE,U.S._Steel
EFX,EFX,NYSE,Equifax
EXR,EXR,NYSE,Extra_Space_Storage
FDO,FDO,NYSE,Family_Dollar
PNW,PNW,NYSE,Pinnacle_West_Capital
BLDR,BLDR,NYSE,Builders_FirstSource
FTV,FTV,NYSE,Fortive
ESS,ESS,NYSE,Essex_Property_Trust
FRT,FRT,NYSE,Federal_Realty_Investment_Trust
MAA,MAA,NYSE,Mid-America_Apartment_Communities
UDR,UDR,NYSE,"UDR,_Inc."
RIG,RIG,NYSE,Transocean
SWK,SWK,NYSE,Stanley_Black_&_Decker
DXC,DXC,NYSE,DXC_Technology
ARG,ARG,NYSE,Airgas
BEAM,BEAM,NASDAQ,Beam_Therapeutics
Q,Q,NYSE,Qnity_Electronics
AN,AN,NYSE,AutoNation
AVY,AVY,NYSE,Avery_Dennison
AVP,AVP,NYSE,Avon_Products
WCG,WCG,NYSE,WellCare
EVRG,EVRG,NYSE,Evergy
WEC,WEC,NYSE,WEC_Energy_Group
WDAY,WDAY,NYSE,"Workday,_Inc."
AAPL,AAPL,NASDAQ,Apple_Inc.
ZTS,ZTS,NYSE,Zoetis
META,META,NASDAQ,Meta_Platforms
MSFT,MSFT,NASDAQ,Microsoft
PGR,PGR,NYSE,Progressive_Corporation
HII,HII,NYSE,Huntington_Ingalls_Industries
PHM,PHM,NYSE,PulteGroup
PWR,PWR,NYSE,Quanta_Services
DGX,DGX,NYSE,Quest_Diagnostics
STR,STR,NYSE,Questar_Corporation_(gas_company)
RJF,RJF,NYSE,Raymond_James_Financial
AMZN,AMZN,NASDAQ,Amazon_(company)
AAL,AAL,NASDAQ,American_Airlines
BWA,BWA,NYSE,BorgWarner
L,L,NYSE,Loews_Corporation
DPZ,DPZ,NYSE,Domino's
ICE,ICE,NYSE,Intercontinental_Exchange
MPWR,MPWR,NASDAQ,Monolithic_Power_Systems
MTCH,MTCH,NASDAQ,Match_Group
XRAY,XRAY,NASDAQ,Dentsply_Sirona
SBNY,SBNY,NASDAQ,Signature_Bank
SBUX,SBUX,NASDAQ,Starbucks
KRFT,KRFT,NASDAQ,Kraft_Foods
ATVI,ATVI,NASDAQ,Activision_Blizzard
FFIV,FFIV,NASDAQ,"F5,_Inc."
FOSL,FOSL,NASDAQ,Fossil_Group
FAST,FAST,NASDAQ,Fastenal
GMCR,GMCR,NASDAQ,Keurig_Dr_Pepper
SNOW,SNOW,NASDAQ,Intrawest
PFG,PFG,NASDAQ,Principal_Financial_Group
ROST,ROST,NASDAQ,Ross_Stores
TMUS,TMUS,NASDAQ,T-Mobile_US
TROW,TROW,NASDAQ,T._Rowe_Price
WLTW,WLTW,NASDAQ,Towers_Watson
URBN,URBN,NASDAQ,Urban_Outfitters
ALXN,ALXN,NASDAQ,Alexion_Pharmaceuticals
ZION,ZION,NASDAQ,Zions_Bancorporation
VIAB,VIAB,NASDAQ,Viacom_(2005–2019)
WIN,WIN,NASDAQ,Windstream_Holdings
SNPS,SNPS,NASDAQ,Synopsys
ZBRA,ZBRA,NASDAQ,Zebra_Technologies
LKQ,LKQ,NASDAQ,LKQ_Corporation
GOOGL,GOOGL,NASDAQ,Alphabet_Inc.
GOOG,GOOG,NASDAQ,Alphabet_Inc.
ZS,ZS,NASDAQ,Zscaler
EXPE,EXPE,NASDAQ,Expedia_Group
HPQ,HPQ,NYSE,Hewlett-Packard
WTW,WTW,NASDAQ,Willis_Towers_Watson
GM,GM,NYSE,General_Motors
BBWI,BBWI,NYSE,Bath_&_Body_Works
BDX,BDX,NYSE,BD_(company)
BMS,BMS,NYSE,Bemis_Company
ALK,ALK,NYSE,Alaska_Airlines
ALGN,ALGN,NASDAQ,Align_Technology
CBOE,CBOE,NASDAQ,Cboe_Global_Markets
IBKR,IBKR,NASDAQ,Interactive_Brokers_Group
BHF,BHF,NASDAQ,Brighthouse_Financial
AVGO,AVGO,NASDAQ,Broadcom
HBAN,HBAN,NASDAQ,Huntington_Bancshares
ILMN,ILMN,NASDAQ,"Illumina,_Inc."
INFO,TCX,NASDAQ,Tucows
CELG,CELG,NASDAQ,Celgene
RRD,RRD,NASDAQ,RR_Donnelley
WYNN,WYNN,NASDAQ,Wynn_Resorts
TRMB,TRMB,NASDAQ,Trimble_Inc.
ULTA,ULTA,NASDAQ,Ulta_Beauty
EQIX,EQIX,NASDAQ,Equinix
VRSK,VRSK,NASDAQ,Verisk_Analytics
AIG,AIG,NYSE,American_International_Group
PG,PG,NYSE,Procter_&_Gamble
COP,COP,NYSE,ConocoPhillips
BRK-B,BRK.B,NYSE,Berkshire_Hathaway
C,C,NYSE,Citigroup
BLK,BLK,NYSE,BlackRock
DD,DD,NYSE,DuPont
LII,LII,NYSE,Lennox_International
MRK,MRK,NYSE,Merck_&_Co.
WU,WU,NYSE,Western_Union
K,K,NYSE,Kellanova
UNH,UNH,NYSE,UnitedHealth_Group
PRU,PRU,NYSE,Prudential_Financial
DNR,DNR,NYSE,Denbury_Resources
DIS,DIS,NYSE,The_Walt_Disney_Company
CARR,CARR,NYSE,Carrier_Global
AMGN,AMGN,NASDAQ,Amgen
SRCL,SRCL,NASDAQ,Stericycle
JBHT,JBHT,NASDAQ,J._B._Hunt
REGN,REGN,NASDAQ,Regeneron_Pharmaceuticals
SBAC,SBAC,NASDAQ,SBA_Communications
ACGL,ACGL,NASDAQ,Arch_Capital_Group
HD,HD,NYSE,Home_Depot
TXT,TXT,NYSE,Textron
SNI,SNI,NYSE,Scripps_Networks_Interactive
